nombre,nombre_ingles,nombre_regional,siglas,cuidad,codigo_postal
Universidad Nacional de Educación a Distancia ,National University of Distance Education,Universidad Nacional de Educación a Distancia ,UNED,Madrid,28015
Universidad Abierta de Cataluña ,Open University of Cataluña,Universitat Oberta de Catalunya,UOC,Barcelona,08035
,Universidad Politécnica de Madrid,,UPM,Madrid,28040
Universidad de Barcelona ,University of Barcelona,Universitat de Barcelona,UB,Barcelona,08007
Universidad de Granada ,University of Granada,Universidad de Granada ,UGR,Granada,18010
Universidad de Málaga ,University of Málaga,Universidad de Málaga ,UMA,Málaga,29071
Universidad de Salamanca ,University of Salamanca,Universidad de Salamanca ,USA,Salamanca,37008
Universitat Abat Oliba CEU ,Abat Oliba CEU University,Universitat Abat Oliba CEU ,UAOC,Barcelona,08022
Universidad Alfonso X El Sabio ,Alfonso X El Sabio University,Universidad Alfonso X El Sabio ,UAX,Villanueva de la Cañada,28691
Instituto Superior de Enseñanzas Artísticas de la Comunitat Valenciana ,Art Institute of the Community of Valencia,Instituto Superior de Enseñanzas Artísticas de la Comunitat Valenciana ,ISEACV,Valencia,46010
Universidad Autónoma de Barcelona ,Autonomous University of Barcelona,Universitat Autónoma de Barcelona,UAB,Cerdanyola del Vallès,08193
Universidad Autónoma de Madrid ,Autonomous University of Madrid,Universidad Autónoma de Madrid ,UAM,Cantoblanco,28049
Universidad Camilo José Cela ,Camilo José Cela University,Universidad Camilo José Cela ,UCJC,Villafranca del Castillo,28692
Universidad Cardenal Herrera-CEU ,Cardinal Herrera-CEU University,Universidad Cardenal Herrera-CEU ,UCH,Moncada,46113
Universidad Carlos III de Madrid ,Carlos III University of Madrid,Universidad Carlos III de Madrid ,UCAR,Getafe,28903
Universidad Católica Santa Teresa de Jesús de Ávila ,Catholic University of Ávila,Universidad Católica Santa Teresa de Jesús de Ávila ,UCAVILA,Ávila,05005
Universidad CEU San Pablo ,CEU San Pablo University,Universidad CEU San Pablo ,UCEU,Madrid,28003
Universidad Pontificia Comillas ,Comillas Pontifical University,Universidad Pontificia Comillas ,UPCO,Madrid,28015
Universidad Complutense de Madrid ,Complutense University of Madrid,Universidad Complutense de Madrid ,UCM,Madrid,28040
CUNEF Universidad,CUNEF University,CUNEF Universidad,,Madrid,28040
Conservatorio Superior de Música Eduardo Martínez Torner ,Eduardo Martínez Torner Music Conservatoire,Conservatorio Superior de Música Eduardo Martínez Torner ,CONSMUPA,Oviedo,33003
ESIC Business and Marketing School,ESIC University,ESIC Universidad,,Pozuelo de Alarcón,28223
"Instituto Europeo di Design, Madrid ","European Institute of Design, Madrid","Instituto Europeo di Design, Madrid ",IED Madrid,Madrid,28004
Universidad Europea de Madrid ,European University of Madrid,Universidad Europea de Madrid ,UEM,Villaviciosa de Odón,28670
Universidad Europea del Atlántico ,European University of the Atlantic,Universidad Europea del Atlántico ,UNEATLANTICO,Santander,39011
Universidad Europea de Canarias,European University of the Canary Islands,Universidad Europea de Canarias,,La Orotava,38311
Universidad Europea de Valencia,European University of Valencia,Universidad Europea de Valencia,,Valencia,46021
Universidad Francisco de Vitoria ,Francisco de Vitoria University,Universidad Francisco de Vitoria ,UFV,Pozuelo de Alarcón,28223
IE Universidad,IE University,IE Universidad,,Segovia,40003
Universidad Internacional Menéndez Pelayo ,International University Menéndez Pelayo,Universidad Internacional Menéndez Pelayo ,UIMP,Madrid,28040
Universidad Internacional de Andalucía ,International University of Andalusia,Universidad Internacional de Andalucía ,UNIA,Sevilla,41092
Universidad Internacional de Cataluña ,International University of Catalonia,Universitat Internacional de Catalunya,UIC,Barcelona,08017
Universidad Internacional de La Rioja,International University of La Rioja,Universidad Internacional de La Rioja,,Logroño,41-26002
Universitat Internacional Valenciana,International University of Valencia,Universidad Internacional de Valencia,,Valencia,46002
Universidad de Jaime I ,Jaume I University,Universitat Jaume I,UJCS,Castellón de la Plana,12071
Conservatorio Superior de Música Joaquín Rodrigo de Valencia ,Joaquín Rodrigo Music Conservatoire of Valencia,Conservatorio Superior de Música Joaquín Rodrigo de Valencia ,CSMV,Valencia,46013
Conservatorio Superior de Música Juan Crisóstomo de Arriaga de Bilbao,"Juan Crisóstomo de Arriaga Music Conservatoire, Bilbao",Conservatorio Superior de Música Juan Crisóstomo de Arriaga de Bilbao,,Bilbao,48015
Universidad Rey Juan Carlos ,King Juan Carlos University,Universidad Rey Juan Carlos ,URJC,Móstoles,28933
Universidad Loyola Andalucía,Loyola University Andalusia,Universidad Loyola Andalucía,,Sevilla,41704
