,Universidades,Experimentalidad1,Experimentalidad2,Experimentalidad3
0,Comunidad Autónoma,12.62,12.62,12.62
1,Andalucía,21.3,16,13.5
2,Aragón,15.7,8.63,-
3,Asturias (Principado de),20.82,15.63,13.4
4,Baleares (Illes),14.59,10.16,9.47
5,Canarias,15.56,12.22,10.78
6,Cantabria ,18.87,14.58,12.13
7,Castilla-La Mancha,22.32,"17,83 - 14,81",13.67
8,Castilla y León,18.46,-,-
9,Cataluña,20.42,-,-
10,Oberta (U.O.C),18.0,14.03,12.79
11,Comunitat Valenciana,17.74,15.04,11.82
12,Extremadura,13.93,-,-
13,Galicia,20.68,16.92,-
14,Madrid (Comunidad de,16.78,-,-
15,Murcia (Región de),21.38,-,-
16,Navarra (Comunidad Foral de),18.92,13.72,13.42
17,País Vasco,22.68,14.08,-
18,Rioja (La)        ,21.0,21,20
19,UNED,21.0,21,20
